Session Number,Scenario Number (within session) ,"Scenario Type                   (REMEMBER: 7 positive, 2 resilience, 1 negative) ",Broad Domain 1,Broad Domain 2,Broad Domain 3,Hoos TC Title ,Staff scenario body,Staff scenario body #2 (negation scenarios only),Staff comprehension question,Staff correct response,Staff incorrect response,Staff photo link,Letters Missing,Occurrence
9,1 (449) ,Positive ,Mental Health,,,Speaking Up,"During a meeting, your boss puts you in a group of colleagues to solve a complicated issue. You have an idea you think might work, but you wonder whether it is too simplistic. As you consider whether to share your idea, you decide to give it a shot.",N/A,Will you share your idea?,Yes,,https://drive.google.com/file/d/1ZodO1F5ZuiDVjiFxjsv5k2GCuLpQwIRf/view?usp=sharing,all,3
,2 (509),Resilience/Negation,Mental Health,Academics/Work/Career Development,,Sitting in a Meeting,You are in an important meeting and you need to pay attention. Halfway through the meeting you realize you have been zoning out and don't know what is going on. You think something must be wrong with you.,"You take a few sips of water and start to feel more awake, remembering that you didn't get as much sleep as usual last night. You decide you are just tired.",Is your zoning out a sign of something wrong with your brain?,No,,https://drive.google.com/file/d/10fLWhto09ulpTOoQ_oICa06UK6vWzttW/view?usp=sharing,all,3
,3 (556),Positive ,Mental Health,Romantic Relationships,,Opening Up,"You've recently been feeling more anxious than usual, and this is affecting your ability to do things with your partner. You've never told your partner about your anxiety, and you wonder if they'll judge you for it. When you talk to your partner about your mental health, you expect them to be understanding.",N/A,Will you tell your partner about your anxiety?,Yes,No,https://drive.google.com/file/d/1eMO9UApj4OCdb7IaK2GYOqq_Luhll7U6/view?usp=sharing,all,3
,4 (493),Positive ,Mental Health,Academics/Work/Career Development,,Being in Charge,"You recently were elected to be in charge of a group of people new to your job. When you meet the other people in charge of groups, you feel as though you didn't work as hard as they did, and don't deserve this position. You take a minute to think about what you give to your job, and realize that you've been giving all you could, and people definitely noticed this.",N/A,Do you feel like you deserve your position in your job?,Yes,,https://drive.google.com/file/d/1cCdFnGwW1dNBLOO7cPWVry3DULHFtlcc/view?usp=sharing,all,3
,5 (377),Negative,Mental Health,Social Situations,,Sharing Favorite Shows,"You are talking with a group of coworkers about TV shows. When you say what you like about an old TV show that you just discovered, no one responds. They probably think that you are weird.",,Do your coworkers judge you for what you said about the TV show? ,Yes,,https://drive.google.com/file/d/1opDxSogFwDYpEb5PGw4jTADE96Y2WtG7/view?usp=sharing,all,3
,6 (219),Positive,Mental Health,Family & Home Life,,Stuck in the Middle,"You’re at home reading a book when you hear members of your household fighting. You wonder why they are yelling at each other, and then one of them says your name. You realize that the reason why they’re arguing is probably not your fault.",N/A,Is it your fault that they are fighting?,No,,https://drive.google.com/file/d/1ftgcSnzMhpFI41H8c5OD_1qoWZWEzBP2/view?usp=sharing,all,3
,7 (161),Resilience/Negation,Mental Health,Social Situations,,Driving flashback,"You are driving to a friend's house in the town you previously lived in. When you arrive at the entrance, you have a strong flashback to when you used to visit this house many years back. You start to feel anxious about being disoriented, and you decide that what you will do about these feelings is to just let them pass.",N/A,"When you feel disoriented, it is helpful to ...",Simply observe and accept the feelings.,Get anxious about feeling disoriented.,https://drive.google.com/file/d/111tmTqhti30waD2ToHBnhDXMWZr6Fiv3/view?usp=sharing,all,3
,8 (502),Positive ,Mental Health,Academics/Work/Career Development,,Teaching Others,"You have been selected to lead a training class for new employees. The leader before you was extremely well liked, and you worry you won't be able to live up to others' expectation of the course. You remember that you know the material well, and when you think about leading the course, you are hopeful.",N/A,Will you lead the course well?,Yes,,https://drive.google.com/file/d/1C5L6fKZvsuJRuh2QnDj4U7_d1_Djs1Rr/view?usp=sharing,all,3
,9 (272),Positive,Mental Health,Social Situations,,Party with Friends,You're at a party with some friends and some of them are doing things you're uncomfortable with. You decide not to participate. Your friends think that you are normal.,N/A,Do your friends think you're uncool for not participating?,No,,https://drive.google.com/file/d/1ooVd4XP2M8uvAgD3jqy3SN9TjXcZXBCO/view?usp=sharing,all,3
,10 (341),Positive ,Mental Health,,,Trusting Yourself ,"You're working on a project with some coworkers. You give offer an idea to the group, and someone laughs and says that it's not good. While you're working on the project, you think that you're smart.",N/A,Do you think that you're dumb because you made a mistake?,No,,https://drive.google.com/file/d/1luHbcPLj4BFquei2XFd_e4PgL9z8fBaB/view?usp=sharing,all,3
10,1,Write Your Own,Mental Health,,,Write Your Own,,,,,,,write your own,45
11,1,Write Your Own,Mental Health,,,Write Your Own,,,,,,,write your own,45
12,1,Write Your Own,Mental Health,,,Write Your Own,,,,,,,write your own,45
13,1 (450) ,Positive ,Mental Health,,,New Outfit,"You put on a new outfit in the morning before leaving for the day. In the middle of the day, you notice you feel a bit different in this new outfit. You love this feeling and are happy you chose to wear the outfit. ",N/A,Are you happy with the new outfit you chose?,Yes,,https://drive.google.com/file/d/1Tj_Fffv-Mc7x6_jQoPut_j9SUCcoydah/view?usp=sharing,1,3
,2 (347),Positive,Mental Health,Academics/Work/Career Development,,Waking Up Ready,"As you're finishing a project at midnight, you realize you still have a couple of tasks left. You plan to wake up a little early to finish them before your important 9 am deadline. While you're setting your alarm and thinking about your plan, you feel confident.",,Are you anxious about your plan to finish your tasks in the morning?,No,,https://drive.google.com/file/d/1C9qzCVMZ7rrXL8Njc7rKFEyQWGercs6i/view?usp=sharing,1,3
,3 (492),Negative,Mental Health,,,Haircut Headache,"Today you're taking staff pictures and you got a new haircut for it. It didn't turn out the way you wanted it to. When you think about others seeing your new haircut in the pictures, you feel embarrassed. ",N/A,Are others going to judge you when they see your haircut in the picture?,Yes,,https://drive.google.com/file/d/1hJ5jSFgD9p0YWah_M35D5-XX1eWGMlRm/view?usp=sharing,1,3
,4 (399),Positive,Mental Health,Social Situations,,Trying Out a Funny Caption,You are trying come up with a closing for an email to send to your coworkers. You come up with a joke that your closest friends will love. Your coworkers will think it's funny.,,Are you worried what your followers will think of your joke?,No,,https://drive.google.com/file/d/1828HR7oyHuDJpNFSn5JmLlYAZ24vA7x7/view?usp=sharing,1,3
,5 (458),Positive ,Mental Health,,,Presentation Practice ,"You have a big presentation coming up soon. You fear that you will be unable to present it accurately, so you dedicate a few hours the weekend before to practice. You ask your friend to come and listen to your presentation to receive feedback. When you are finished, your friend tells you that you did a really good job and that you will do well in front of the crowd. ",N/A,Do you think that you are well prepared? ,Yes,,https://drive.google.com/file/d/1VHq_c_pitRRiOT_VNDOFpOt_UvMiKJgv/view?usp=sharing,1,3
,6 (173),Resilience/Negation,Mental Health,Physical Health,,Swimming laps,"It's Sunday morning and you are swimming laps at the pool. After a couple of laps you feel out of breath and decide to break for a minute at the end of the lane. Gasping for breath makes you feel anxious, and you want to stop swimming.","You decide that these sensations are tolerable, and you resume.",Did you keep on exercising despite feeling anxious?,Yes,,https://drive.google.com/file/d/1VALnSYTdN8clzOrVZO4oEh1vWMUO7WgK/view?usp=sharing,1,3
,7 (520),Positive,Mental Health,,,Deciding to Share a Picture,"You take a picture of a coworker at an event that is really great. You want to show your other coworkers in an email but remember that you just sent out an email yesterday. If you email again, you think people won't  notice.",N/A,Do your coworkers think it's strange that you emailed two days in a row?,No,,https://drive.google.com/file/d/1Ev1HphDd6ARyBxl2_PUoyWxWlfAh9n7F/view?usp=sharing,1,3
,8 (158),Positive ,Mental Health,Academics/Work/Career Development,,Evaluation results,"The window for staff evaluations just closed, and you are not sure whether you did well or not. You feel nervous as you think about how other people graded you. You think being nervous is manageable.",N/A,Can you tolerate your nervousness as you wait to find out your evaluation?,Yes,,https://drive.google.com/file/d/1wsTsWXkjfok0Sn3yNthn2D51nUUgPfAo/view?usp=sharing,1,3
,9 (160),Resilience/Negation,Mental Health,,,Late night sensation,"It's the middle of the night and you wake up abruptly. As you sit up, you feel weird, like your mind isn't working right, and you start to think you might be going crazy. This thought frightens you, and you decide as you lay back down that you will just observe it.",N/A,Do you need to fight your strange feelings in order to make your anxiety go away?,No,,https://drive.google.com/file/d/1xOEaZdmjhMa1dZKtjfWM5xagfKuFXOER/view?usp=sharing,1,3
,10 (451),Positive ,Mental Health,,,Night Out,You are getting ready for a night out. You notice that you have a big pimple on your cheek. You feel beautiful. ,N/A,Do you think you look good?,Yes,,https://drive.google.com/file/d/1iG9en_nfEYbr4NEkFMt3-xoAIldZBgYQ/view?usp=sharing,1,3
14,1 (452) ,Positive ,Mental Health,,,Canceling on Friends ,"You've been feeling run down lately and cancel on plans that you made with your friends. Your friends express frustration, saying that they planned this a long time ago and were looking forward to seeing you. You think that you made the best decision for yourself. ",N/A,Are you glad you canceled your plans to rest?,Yes,,https://drive.google.com/file/d/1WuPmRt-VoQfR_ZkT1nzIhMKeljNVUJMz/view?usp=sharing,1,3
,2 (50),Positive ,Mental Health,Family & Home Life ,,Locked door,"One morning you leave your house and begin to make your way to work. About 10 minutes into the commute, you wonder whether you remembered to lock the door to your home. As you continue your commute, you trust yourself and you feel relaxed.",N/A,"For the rest of your morning commute, you feel ...",At ease as you get to work.,Worried that you left the door to your home unlocked.,https://drive.google.com/file/d/1L06ap5ra_s6MnwpMX2bIkWHmxWYaUpYT/view?usp=sharing,1,3
,3 (505),Positive ,Mental Health,,,Feeling Numb,You have been going dealing with some stressful situations recently. You are reflecting on the past few weeks and realize you haven't been very emotional which makes you think you've become numb. You remember that you've been coping well and likely have just kept your emotions stable.,N/A,Are you depressed?,No,,https://drive.google.com/file/d/1lb5unRFMzlCZwR4qVYPDwPXdw7evicTa/view?usp=sharing,1,3
,4 (284),Negative,Mental Health,Physical Health,,Stomach Ache,"You have been nervous about an upcoming evaluation at work. The day of the evaluation, you notice that your stomach is aching. You think that the stomach ache must be from anxiety. ",N/A,Is the stomach ache from anxiety?,Yes,,https://drive.google.com/file/d/1rbCs8iZS6b3LtSyDCOMcEXH8GAlOt4qZ/view?usp=sharing,1,3
,5 (490),Positive ,Mental Health,Academics/Work/Career Development,,Unfinished Work ,"You had a very busy day, and were not able to get all of your tasks done. At dinner, your partner brags about how they finished everything on their to-do list. Thinking about whether you can complete your work tomorrow, you feel confident.",N/A,Will you get everything done?,Yes,,https://drive.google.com/file/d/1b4FsJv5cKIMQtEO-gCgq-Ezc9XEaINoP/view?usp=sharing,1,3
,6 (343),Resilience/Negation,Mental Health,Academics/Work/Career Development,Physical Health,Out of Your Control,"You are about to do your first online interview for an important promotion. You click the link when it is time to join the meeting,  but your internet cuts out. You think about the interviewers assuming you are late and feel nauseous.","After a minute, your Internet comes back. You log back in and realize you feel more confident.",Do you feel sick throughout the rest of your interview? ,No,,https://drive.google.com/file/d/1XSzs9MSKzUi9VEjvSXdG4wuW6OFlE60F/view?usp=sharing,1,3
,7 (174),Positive ,Mental Health,Academics/Work/Career Development,,One-On-One Meeting,"You have a one-on-one meeting today with your intimidating boss, which you are nervous about. During the meeting, you momentarily lose your train of thought. After that, your anxiety is tolerable.",N/A,Are you able to tolerate your anxiety while meeting with your boss?,Yes,,https://drive.google.com/file/d/1XdpsyI2ipYQdebyRJI6icWGBOLJlNXCD/view?usp=sharing,1,3
,8 (354),Resilience/Negation,Mental Health,Family & Home Life,,Birthday Jitters,"Your friends are organizing a birthday party for you at their home. They invited a lot of people who will all be there for you. When you think about all of the people coming, you feel nervous.",You remember they are all coming to celebrate you. This makes you feel excited.,Are you excited about all the attention you will receive?,Yes,,https://drive.google.com/file/d/1UoBTJwOaRbMpWrYnOWNPOBzR-axREE4s/view?usp=sharing,1,3
,9 (498),Positive ,Mental Health,,,Speaking Up,"During a meeting, your boss puts you in a group of colleagues to solve a complicated issue. You have an idea you think might work, but you wonder whether it is too simplistic. As you consider whether to share your idea, you decide to give it a shot.",N/A,Will you share your idea?,Yes,,https://drive.google.com/file/d/1ZodO1F5ZuiDVjiFxjsv5k2GCuLpQwIRf/view?usp=sharing,1,3
,10 (453) ,Positive ,Mental Health,,,Insightful Email,"During a meeting today, you have a thought that you think is really insightful. You didn't get the chance to bring it up in the meeting, but you want to email your department head about it. When you send the email, you feel proud of yourself for sharing your thoughts.",N/A,Was your thought worth sharing?,Yes,,https://drive.google.com/file/d/1azOE2eRIrdOPl9AdAR61tTkqUFdsq0zB/view?usp=sharing,1,3
15,1 (403),Positive,Mental Health,Social Situations,,An Invitation,"You invite your supervisor to an event this weekend. You're the only one of your friends that's close with their supervisor and are unsure of how others will percieve you. As you get ready for the event, you feel happy.",,Are you happy to have your supervisor come to your school event? ,Yes,,https://drive.google.com/file/d/1b0lHedBVO7x_rukR1faGc_vfaGCmTSgj/view?usp=sharing,1,3
,2 (488),Positive ,Mental Health,Academics/Work/Career Development,,Receiving Recognition,"You recently received an incredible promotion at your job. You suddenly feel that you didn't work hard enough to earn the promotion. Reflecting on your work, you think this is something you deserve.",N/A,Should you pass up the promotion? ,No,,https://drive.google.com/file/d/1azOE2eRIrdOPl9AdAR61tTkqUFdsq0zB/view?usp=sharing,1,3
,3 (183),Resilience/Negation,Mental Health,,,Climbing a Mountain,"You are on a hike with a group of friends and everyone you're with wants to go up a pretty tall mountain. As you climb the mountain, you look down and feel your stomach drop. You think that this hike will be scary.","You reach the top of the mountains and your friends are taking pictures. Even though you're anxious, you go look around and smile.",Were you able to overcome your anxiety and enjoy the thike? ,Yes,,https://drive.google.com/file/d/1gYGD8SnyvMsNgSmeWgF1xZiAFm5Pllca/view?usp=sharing,1,3
,4 (448),Positive ,Mental Health,,,Voicing Your Opinion ,"Your coworkers are talking about a current issue and you realize you have a different opinion than them. You want to express it, but worry if they will judge you. You decide that it is better to be honest.",N/A,Should you avoid adding on to the conversation?,No,,https://drive.google.com/file/d/14E87lNQCbYQYaw2WEZUgqpLVllxzh0qo/view?usp=sharing,1,3
,5 (649),Positive,Mental Health,Finances,,Food Costs,"Recently, you've just wanted to spend time alone and don't have much motivation to get out of bed. You ordered delivery a few nights in a row, and spent much more money on takeout than you normally do. You realize that there are some easy meals you can handle making next week and start planning. ",N/A,Are you going to spend all of your money on delivery? ,No,,https://drive.google.com/file/d/1EiUCRYYf5uaji37PRSH_mjjnF5O5RPgn/view?usp=sharing,1,3
,6 (507),Positive ,Mental Health,,,Rainy Weather,You wake up and look out the window to see that it's rainy and gloomy out. You stay inside all day and when you look back on the day you realize you felt sad for most for it. You decide that it was probably because you were not able to go outside. ,N/A,Is today's sadness going to last forever?,No,,https://drive.google.com/file/d/1UejoAZIzw5j2-fZDO54rqRL0ITIi4iOf/view?usp=sharing,1,3
,7 (509),Resilience/Negation,Mental Health,Academics/Work/Career Development,,Sitting in a Meeting,You are in an important meeting and you need to pay attention. Halfway through the meeting you realize you have been zoning out and don't know what is going on. You think something must be wrong with you.,"You take a few sips of water and start to feel more awake, remembering that you didn't get as much sleep as usual last night. You decide you are just tired.",Is your zoning out a sign of something wrong with your brain?,No,,https://drive.google.com/file/d/10fLWhto09ulpTOoQ_oICa06UK6vWzttW/view?usp=sharing,1,3
,8 (454),Positive ,Mental Health,,,Confronting a Friend ,"In a conversation with a friend today, they say something slightly offensive and they do not seem to realize that it may have made you uncomfortable. You confront them about their comment and why it was offensive, and you worry in the moment that they may be angry at you. When you hear their reponse, they are thankful you communicated with them and apologize.",N/A,Are you proud that you communicated with your friend?,Yes,,https://drive.google.com/file/d/1Vg9pDOIb4D_9uk_FU-PN67RDhh3URJqT/view?usp=sharing,1,3
,9 (668),Negative,Mental Health,Academics/Work/Career Development,,Reviewing Your Work ,"You have been called in for a performance review with your boss. Overall, you do good work, but you know your boss has noticed some errors recently. As you prepare for the review, you think that your meeting will probably focus on your shortcomings.",,"You think that during your performance review, your boss is likely to say","""These slip ups are simply unacceptable at this point!""","""I'm still very happy with the work you've been doing.""",https://drive.google.com/file/d/1EAYPVHFKPfUOp3vNgYgsrQGqdKFYW-a8/view?usp=sharing,1,3
,10 (76),Positive ,Mental Health,Physical Health,,Annual physical exam,"You are getting your annual physical with your doctor. After an initial exam, your doctor indicates that something looks unusual, and says they will need to get a second opinion. When it comes to managing your anxiety while you wait in the exam room, you are capable.",N/A,Are you capable of managing your anxiety while waiting for your doctor?,Yes,,https://drive.google.com/file/d/1gfUANnECP3LDzTjUtm_9lBpdAe3s4Xyw/view?usp=sharing,1,3
16,1 (408),Positive,Mental Health,Social Situations,,Social Media,"As you scroll through your feed on social media, you see a photo of your friends that shows them having a great time together over video chat. You weren't invited to hang out with them online. You think about it, and decide that you can cope.",,Can you handle that sometimes your friends hang out without you?,Yes,,https://drive.google.com/file/d/1C2a62EXZZgDQ05jLqV6S9eO4NUs2R1SU/view?usp=sharing,2,3
,2 (523),Resilience/Negation,Mental Health,Romantic Relationships,,Friends in Relationships,"Your friends are all in relationships. You are not currently in a relationship, and you wonder if there is something wrong with you. You think that you are undesirable. ","After a while, you realize that it is very normal to not be in a relationship. You think that you enjoy being single, and the right person will come along when you are ready.  ",Are you capable of being in a relationship?,Yes,,https://drive.google.com/file/d/1u-_r0tB9RIGlIUC3K6ifS1cUbgd25kEk/view?usp=sharing,2,3
,3 (493),Positive ,Mental Health,Academics/Work/Career Development,,Being in Charge,"You recently were elected to be in charge of a group of people new to your job. When you meet the other people in charge of groups, you feel as though you didn't work as hard as they did, and don't deserve this position. You take a minute to think about what you give to your job, and realize that you've been giving all you could, and people definitely noticed this.",N/A,Do you feel like you deserve your position in your job?,Yes,,https://drive.google.com/file/d/1cCdFnGwW1dNBLOO7cPWVry3DULHFtlcc/view?usp=sharing,2,3
,4 (522),Negative,Mental Health,Romantic Relationships,,A New Relationship,"You have been with your partner for a while, and you are still very into them. Recently, your partner hasn't expressed much adoration towards you, and you wonder if they still love you as much as you love them. You think that they are no longer into you. ",N/A,Does your partner still love you?,No ,,https://drive.google.com/file/d/1VIJYeImFMUm7Aaacnct7HyxaOYy72Mq6/view?usp=sharing,2,3
,5 (528),Positive,Mental Health,Academics/Work/Career Development,,Taking a Break,"You've been very busy the past few months, and you haven't had a lot of free time. You finally have a chance to rest, but you feel guilty that you're taking a break rather than completing work. You think that you deserve to relax. ",N/A,Should you do your work right now?,No,,https://drive.google.com/file/d/1OSRDlUvXTNnwLZlxsji3kxnfVjWLAKmD/view?usp=sharing,2,3
,6 (516),Positive ,Mental Health,,,Getting Help,"This semester, you've been feeling very down, and you haven't been enjoying your ususal activities. You wonder whether treatment would work for you, but you feel discouraged. As you think more about getting help, you think it would make you feel better.  ",N/A,Will getting help make you feel better?,Yes,,https://drive.google.com/file/d/1UBORN__WOk3N5lP4X-qA_lwYYhlyyYqS/view?usp=sharing,2,3
,7 (171),Resilience/Negation,Mental Health,Physical Health,,Hot day,"Returning home on a very hot day, you quickly drink a large glass of water. You soon feel abnormally full and a bit sick to your stomach. This feeling is surprising and uncomfortable, but you realize that it is something you can simply observe.",N/A,You responded to the feelings of sickness in your stomach by ...,Observing the sensations without doing anything.,Panicking about the sensations and calling an ambulance.,https://drive.google.com/file/d/1zIU7R9B0aDdb2iU_AHp4YbObnLDAts0M/view?usp=sharing,2,3
,8 (456),Positive ,Mental Health,,,Social Media Engagement,"You post a picture of yourself on social media that you feel you look really good in. After a couple days, you see you have gotten very few likes and comments. You still feel confident in the photo despite your social media engagement.",N/A,Do you look good in the picture you posted?,Yes,,https://drive.google.com/file/d/1HkN2rJ7Y0VEY5dMn1mntz5eYutNR5dSv/view?usp=sharing,2,3
,9 (506),Positive ,Mental Health,Academics/Work/Career Development,,Feeling Anxious ,"You have a big presentation coming up. When you think about standing up in front of people and talking, you feel anxious. You think that this is probably temporary.",N/A,Will you always feel anxiety?,No,,https://drive.google.com/file/d/1FcB5CvXNaJdV8qJE0nz1NN6MVKPtk2zJ/view?usp=sharing,2,3
,10 (436),Positive,Mental Health,Finances,,Affording Therapy,"You've been wanting to go to therapy for a while. However, you aren't sure whether you have the budget to pay for it. You think that it's likely that you will find a provider whose services are affordable. ",,Do you want to go to therapy?,Yes,No ,https://drive.google.com/file/d/1oOjp17AzniUmJnuYe-gQ8IiWi4W8RJ71/view?usp=sharing,2,3
17,1 (495),Positive ,Mental Health,Academics/Work/Career Development,,Falling Behind,"You recently started a new job. As you've been working, it seems like everyone around you knows what they're doing, but you're still confused. You think this is because you're still learning, and you'll catch on soon. ",N/A,Will you get better at your job?,Yes,,https://drive.google.com/file/d/1V3qcOIHvtf7LmQss0ruGtHPfIMlyIauX/view?usp=sharing,2,3
,2 (445),Positive ,Mental Health,,,Your Own Style,"You made plans with a group of friends to go out to dinner on a Friday night. When they come to pick you up, you see that they are dressed casually, but you decided to dress up a bit, and you think they might judge you. You decide that you like what you're wearing, and go to dinner happy. ",N/A,Do you change your outfit because of what your friends are wearing?,No,,https://drive.google.com/file/d/12vpSXXIvh5O51Xf7jc-cr6cnonOEz7zw/view?usp=sharing,2,3
,3 (336),Positive,Mental Health,Academics/Work/Career Development,,Enjoyable Endeavor ,"You and some coworkers were given some extra tasks to complete by the end of the week, and you've been working hard. You overheard your coworkers saying that you'd be ""crazy"" to enjoy the extra work. You think about how productive it makes you feel to be working this hard, and feel excited.",,Are you looking forward to completing the extra tasks?,Yes,,https://drive.google.com/file/d/18Nfhp9FuaS1pKc7jTO3hXT4vzg-FI7Db/view?usp=sharing,2,3
,4 (673),Positive,Mental Health,Academics/Work/Career Development,,A New Opportunity,You recently received an incredible promotion at your job. You suddenly feel that you didn't work hard enough to earn the opportunity. You think that you deserve the promotion.,,Should you pass up the promotion? ,No,,https://drive.google.com/file/d/1azOE2eRIrdOPl9AdAR61tTkqUFdsq0zB/view?usp=sharing,2,3
,5 (672),Resilience/Negation,Mental Health,Academics/Work/Career Development,,Feeling Called Out,"Your boss catches you texting during a meeting and calls you out for not paying attention. You don't like when people are mad at you, but you know that your boss will say something to you at the end of the meeting. For the rest of the meeting, you feel anxious.","When the meeting ends, your boss confronts you and reminds you to not have your phone out during a meeting. You think they are being nice.",Was your boss mean about confronting you? ,No,,https://drive.google.com/file/d/1fZ5gwS6hpP38y6RtFHzIC7gnpeeFtrLF/view?usp=sharing,2,3
,6 (500),Positive ,Mental Health,Academics/Work/Career Development,,Coming up with Questions,"You are in a talk on a challenging topic you're really excited about. You have a lot of thoughts on the subject but you feel like the questions everyone else are asking are smarter than yours. You think about how all of them probably get nervous about talking too, and know they aren't there to judge.",N/A,Are everyone else's questions better than yours?,No,,https://drive.google.com/file/d/1ZRX4djV0jNJx45cG7BKsaEWYgTgDJGha/view?usp=sharing,2,3
,7 (557),Negative ,Mental Health,,,Being a Parent,"You are spending some time with your young daughter over the weekend. Your daughter is very sweet, but sometimes you get frustrated with her and wonder how you two will get along in the future. When you think about your relationship with her as she grows up, you see yourself as being frustrated.",N/A,"Thinking about your future relationship with your daughter, you see yourself",Being stressed because of her.,Having a loving relationship with her.,https://drive.google.com/file/d/1l-0RqRBinZMdVZ2IJnJYWMKbDwph54bS/view?usp=sharing,2,3
,8 (520),Positive,Mental Health,Romantic Relationships,,Comparing Yourself to Others,"Recently, your partner mentioned that they find a certain celebrity attractive. This celebrity looks nothing like you, and you wonder if your partner has changed their preferences since the beginning of your relationship. You think that they still find you attractive.  ",N/A,Is your partner attracted to you?,Yes,,https://drive.google.com/file/d/1qYR_sw_sAKU_sUueHbH0iJ5hWVTrmZeX/view?usp=sharing,2,3
,9 (217),Resilience/Negation,Mental Health,Social Situations,,Sharing with Someone New,"You're talking to a coworker about a presentation you're working on and they seem really interested. They ask if they can look at it, and you agree. Before you send the slides to them, you look over it and feel good. ",N/A,Are you worried about what your coworker thinks of your presentation?,No,,https://drive.google.com/file/d/1499bBYkmYnrl8QqVGgqBcog_M-Ueo1__/view?usp=sharing,2,3
,10 (233),Positive ,Mental Health,,,Thinking about Flying,You're watching a TV show about people travelling to other countries. The idea of taking an airplane makes you feel anxious. You think you will deal with your anxiety successfully.,N/A,Are you able to tolerate your feelings of anxiety about airplanes? ,Yes,,https://drive.google.com/file/d/1wnxiRUTD_wAP7gp1JGI-BwXD0_dNvvjq/view?usp=sharing,2,3
18,1 (494),Positive ,Mental Health,Social Situations,,Plans for the Weekend,"It's finally Friday, and you overhear some coworkers talking about their plans for the weekend. You didn't have anything big planned for the weekend, and you feel like you aren't social enough to keep up with your coworkers. When you imagine relaxing after a hard week of work, you feel content.",N/A,Do you have to be more social?,No,,https://drive.google.com/file/d/1osnpX2qW0UbXPOcFF6j-MPRf0iUaem-b/view?usp=sharing,2,3
,2 (492),Negative,Mental Health,Academics/Work/Career Development,,Not Feeling Prepared,"In one of your meetings recently, your boss asks everyone to raise their hands if they've heard of a work technique before. When you look around, you notice the majority of your coworkers have their hands raised, but you don't. This makes you feel like you're not prepared to do the job.",N/A,Are your coworkers more prepared than you?,Yes,,https://drive.google.com/file/d/143F_jObaBvG1l77hgZir8HruiOBT9qcV/view?usp=sharing,2,3
,3 (335),Positive,Mental Health,Romantic Relationships,,Past Experiences,"Your last relationship did not end very well. You are entering a new relationship, but you are still dealing with the feelings from your past relationship. You think you can work out a compromise together. ",N/A,Will your partner understand?,Yes,No,https://drive.google.com/file/d/1c0jEVgNBC6T5owmfv46lOubTqZ53hCZE/view?usp=sharing,2,3
,4 (193),Resilience/Negation,Mental Health,Physical Health,,Feeling Lightheaded,"You have been working hard all day and have not had much to eat. As you stand up from your desk, you feel dizzy and weak, and this makes you a little worried. ",You decide to pay attention to the sensations without judging them as good or bad. This reduces your worrying and makes you feel calmer.,Will your anxiety decrease if you observe your sensations without judgment?,Yes,,https://drive.google.com/file/d/1DivZOcoKB52Y-av9UMmPiIogDTLacT_W/view?usp=sharing,2,3
,5 (530),Positive,Mental Health,,,An international flight,"You are going on a trip to another country. During the flight, you look out the window and realize you've never been so far above the ocean. You feel thrilled.",N/A,Is it exhilarating to be so high up?,Yes,,https://drive.google.com/file/d/1GYk2FDBdJrt2X79wPnOBoOZF2QH6AcbW/view?usp=sharing,2,3
,6 (528),Positive,Mental Health,Academics/Work/Career Development,,Taking a Break,"You've been very busy the past few months, and you haven't had a lot of free time. You finally have a chance to rest, but you feel guilty that you're taking a break rather than completing work. You think that you deserve to relax. ",N/A,Should you do your work right now?,No,,https://drive.google.com/file/d/1OSRDlUvXTNnwLZlxsji3kxnfVjWLAKmD/view?usp=sharing,2,3
,7 (550),Positive ,Mental Health,,,Trusting Yourself ,"You're working on a project with some coworkers. You give offer an idea to the group, and someone laughs and says that it's not good. While you're working on the project, you think that you're smart.",N/A,Do you think that you're dumb because you made a mistake?,No,,https://drive.google.com/file/d/1luHbcPLj4BFquei2XFd_e4PgL9z8fBaB/view?usp=sharing,2,3
,8 (339),Resilience/Negation,Mental Health,Academics/Work/Career Development,,An Important Presentation,"Your boss is watching your presentation in your meeting today. During the presentation, you stumble over your words a lot. You feel defeated.","While you feel upset, you realize that it's natural to make mistakes. You think that your boss won't remember.",Is it okay that you made a mistake in front of your boss?,Yes ,,https://drive.google.com/file/d/1pQHZTO39FaMtxe96k3wQ-bwUufBsPYvC/view?usp=sharing,2,3
,9 (516),Positive ,Mental Health,,,Getting Help,"This semester, you've been feeling very down, and you haven't been enjoying your ususal activities. You wonder whether treatment would work for you, but you feel discouraged. As you think more about getting help, you think it would make you feel better.  ",N/A,Will getting help make you feel better?,Yes,,https://drive.google.com/file/d/1UBORN__WOk3N5lP4X-qA_lwYYhlyyYqS/view?usp=sharing,2,3
,10 (508),Positive ,Mental Health,,,Feeling Down,"You have had a busy and stressful week. You are usually happy, but you've felt flat and sad all for the past few days. You remember that it's normal to have some hard days.",N/A,Are your feelings normal?,Yes,,https://drive.google.com/file/d/1Idh86DIZlODfTEChHpLTlFGu9oVwjF82/view?usp=sharing,2,3
19,1 (296),Positive,Mental Health,Finances,,Session Costs,"You recently had to pay a large sum of money toward repairs for your car. This unexpected expense cut into the money you use to pay your therapy copays, and you are concerned about what will happen if you miss sessions to save money. You call the therapy office, and they help you come up with a solution. ",N/A,Do finances get in the way of therapy?,No,,https://drive.google.com/file/d/1yu9h9aas60Qlgw4LN5PXrYPCRmTlEye4/view?usp=sharing,all,3
